time,rr_interval,lf,hf,lf_hf_ratio,hr,mean_hr,max_hr,min_hr,rmssd,sdnn,breath_rate
62,794,-1,-1,-1,77.20518871827801,-1,-1,-1,-1,-1,-1
63,835,-1,-1,-1,73.71151902743631,-1,-1,-1,-1,-1,-1
64,917,-1,-1,-1,68.64351993940146,-1,-1,-1,-1,-1,-1
65,923,-1,-1,-1,65.2180847858732,-1,-1,-1,-1,-1,-1
65,1003,-1,-1,-1,62.41297775146932,-1,-1,-1,-1,-1,-1
66,867,-1,-1,-1,64.5123453169902,-1,-1,-1,-1,-1,-1
67,860,-1,-1,-1,69.48579705480003,-1,-1,-1,-1,-1,-1
67,864,-1,-1,-1,69.60594315245478,-1,-1,-1,-1,-1,-1
68,868,-1,-1,-1,69.28443420378903,-1,-1,-1,-1,-1,-1
69,818,-1,-1,-1,71.2370286074837,-1,-1,-1,-1,-1,-1
70,857,-1,-1,-1,71.68065093163449,-1,-1,-1,-1,-1,-1
71,832,-1,-1,-1,71.06352661340992,-1,-1,-1,-1,-1,-1
72,762,-1,-1,-1,75.42777104784979,-1,-1,-1,-1,-1,-1
73,804,-1,-1,-1,76.68351157597837,-1,-1,-1,-1,-1,-1
74,871,-1,-1,-1,71.75660160734787,-1,-1,-1,-1,-1,-1
76,951,-1,-1,-1,65.98891009644811,-1,-1,-1,-1,-1,-1
75,827,-1,-1,-1,67.82143660908075,-1,-1,-1,-1,-1,-1
76,762,-1,-1,-1,75.64577402431709,-1,-1,-1,-1,-1,-1
77,819,-1,-1,-1,76.00011537019411,-1,-1,-1,-1,-1,-1
78,851,-1,-1,-1,71.88268057833275,-1,-1,-1,-1,-1,-1
79,792,-1,-1,-1,73.131431827084,-1,-1,-1,-1,-1,-1
80,828,-1,-1,-1,74.11067193675889,-1,-1,-1,-1,-1,-1
81,890,-1,-1,-1,69.93974922651034,-1,-1,-1,-1,-1,-1
81,959,-1,-1,-1,64.9904511956509,-1,-1,-1,-1,-1,-1
82,847,-1,-1,-1,66.70171235532881,-1,-1,-1,-1,-1,-1
83,799,-1,-1,-1,72.9660599953011,-1,-1,-1,-1,-1,-1
84,795,-1,-1,-1,75.28278272368763,-1,-1,-1,-1,-1,-1
85,866,-1,-1,-1,72.37788138916729,-1,-1,-1,-1,-1,-1
85,889,-1,-1,-1,68.38781410984134,-1,-1,-1,-1,-1,-1
86,770,-1,-1,-1,72.7068207383168,-1,-1,-1,-1,-1,-1
87,782,-1,-1,-1,77.32421031653769,-1,-1,-1,-1,-1,-1
88,803,-1,-1,-1,75.72307172909773,-1,-1,-1,-1,-1,-1
89,811,-1,-1,-1,74.35126905424019,-1,-1,-1,-1,-1,-1
90,795,-1,-1,-1,74.72721773724496,-1,-1,-1,-1,-1,-1
91,855,-1,-1,-1,72.82356835484939,-1,-1,-1,-1,-1,-1
92,928,-1,-1,-1,67.41530550514217,-1,-1,-1,-1,-1,-1
93,915,-1,-1,-1,65.1144714527982,-1,-1,-1,-1,-1,-1
